	GEOID	StateName	CountyName	TractName	ALAND	AWATER	N_Adders	IRA_ec	Brownfield	IRA_LIC_C1	IRA_LIC_TL	HUD_Count	IRA_LIC_AS	IRA_CEJST	Com_npv_map	NPV_com_na	NPV_com_st	NPV_com_m	PB_com_na	PB_com_m	Res_npv_map	NPV_res_na	NPV_res_st	NPV_res_m	PB_res_na	PB_res_m	Total_Pop	P_Hispanic	P_nh_Black	P_nh_White	P_nh_Asian	P_nh_Native	P_nh_Other	Median_inc	P_Poverty	P_OwnerOcc	SVI	GOV1_count	GOV1_kW_ca	GOV1_kWh_p	GOV2_count	GOV2_kW_ca	GOV2_kWh_p	EDU1_count	EDU1_kW_ca	EDU1_kWh_p	EDU2_count	EDU2_kW_ca	EDU2_kWh_p
124	9180696401	 Connecticut	 Southeastern Connecticut Planning Region	Census Tract 6964.01	5272209	376909	1	0	3	100	0	1	100	100	Lower third	25	0	1105.953	44	13.2	Middle third	83	0	2099.579	14	11.835	4984	27.13	20.47	45.18	0.6	0.8	5.82	45043	25.5	43.8	93.8	11	240	294826	1	70	85970	1	0	0	0	0	0
125	9180696701	 Connecticut	 Southeastern Connecticut Planning Region	Census Tract 6967.01	5188295	688495	1	0	5	100	0	4	0	0	Lower third	25	0	1105.953	44	13.2	Middle third	83	0	2099.579	14	11.835	5916	18.64	7.12	55.43	11.09	0	7.72	44355	22	41.8	89.7	30	804	986209	3	135	166765	3	1330	1632326	0	0	0
126	9130660104	 Connecticut	 Lower Connecticut River Valley Planning Region	Census Tract 6601.04	9717710	8002167	0	0	1	0	0	1	0	0	Lower third	25	0	1105.953	44	13.2	Middle third	83	0	2099.579	14	11.835	1590	17.8	0	74.65	0.75	0	6.79	114306	3.5	81.4	32.2	3	50	62006	3	16	20664	0	0	0	0	0	0
127	9130660103	 Connecticut	 Lower Connecticut River Valley Planning Region	Census Tract 6601.03	20531283	315132	0	0	1	0	0	1	0	0	Lower third	25	0	1105.953	44	13.2	Middle third	83	0	2099.579	14	11.835	2629	3.54	0	90.68	0.65	0.61	4.53	121593	6.7	87.1	10.7	8	68	83885	5	13	17034	4	1101	1351173	0	0	0
128	9170140800	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1408	1648799	115475	1	0	1	100	0	3	100	100	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	4134	21.14	58.08	13.18	5.76	0.73	1.11	33258	37.9	13.7	97.6	20	272	333764	0	0	0	1	267	328331	0	0	0
129	9170141000	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1410	1896847	7050	0	0	1	0	0	1	0	0	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	4360	8.62	11.67	73.9	1.72	0	4.08	124306	6.1	47.6	9.7	6	65	79850	0	0	0	2	154	189638	0	0	0
130	9170141100	 Connecticut	 South Central Connecticut Planning Region	Census Tract 1411	3869431	15739	0	0	1	0	0	1	0	0	Middle third	51	4	13815.777	53	13.983	Upper third	93	2	5420.8	10	9.374	2887	9.46	27.09	52.37	6.03	0	5.06	127386	5	84.2	34.7	4	6	7836	0	0	0	1	331	406784	0	0	0
131	9140110601	 Connecticut	 Naugatuck Valley Planning Region	Census Tract 1106.01	12597022	3411	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	2645	3.97	0.45	84.84	10.55	0.19	0	135985	3.1	95.8	0.3	22	626	768584	0	0	0	1	0	0	0	0	0
132	9140110602	 Connecticut	 Naugatuck Valley Planning Region	Census Tract 1106.02	10307728	605373	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	5015	10.89	1.79	68.04	17.77	0	1.52	122821	3.9	82.7	22.3	33	185	227533	0	0	0	3	4	5506	0	0	0
133	9190035102	 Connecticut	 Western Connecticut Planning Region	Census Tract 351.02	4346949	115	1	100	1	0	0	2	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3646	0.47	0.03	90.48	3.21	0	5.81	192333	3.8	82.3	3.6	7	401	491847	2	0	0	4	845	1036749	0	0	0
134	9190035101	 Connecticut	 Western Connecticut Planning Region	Census Tract 351.01	2200629	14027	1	100	1	0	0	2	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4037	1.63	3.52	80.03	12.68	0	2.13	181705	1.5	58.3	39.1	11	509	624286	2	179	219525	7	779	956469	0	0	0
135	9190210502	 Connecticut	 Western Connecticut Planning Region	Census Tract 2105.02	14728981	229663	1	100	1	0	0	1	0	0.43	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	6353	18.13	8.61	62.57	5.07	0	5.62	106016	2.3	62.3	37	36	566	694498	1	24	29580	10	3130	3839245	0	0	0
136	9190021701	 Connecticut	 Western Connecticut Planning Region	Census Tract 217.01	259960	0	2	100	1	100	0	1	0	0.89	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4646	32.54	37.04	21.52	2.82	0	6.07	54630	15.1	14.6	75.2	1	45	56353	0	0	0	0	0	0	0	0	0
137	9190021602	 Connecticut	 Western Connecticut Planning Region	Census Tract 216.02	324994	0	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4886	27.06	23.39	28	19.22	0	2.33	85951	13.5	11.5	63.7	1	134	164803	2	76	94322	2	752	922522	0	0	0
138	9190021502	 Connecticut	 Western Connecticut Planning Region	Census Tract 215.02	346295	0	2	100	1	100	0	1	0	99.2	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3304	43.52	44.55	4.36	7.57	0	0	64342	7.8	38.9	95.7	7	167	205213	0	0	0	0	0	0	0	0	0
139	9190211202	 Connecticut	 Western Connecticut Planning Region	Census Tract 2112.02	4285574	2066051	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	2628	18	3.77	67.31	0.84	0	10.08	89511	4.5	75.2	44.6	9	15	19131	0	0	0	3	220	270641	0	0	0
140	9190210202	 Connecticut	 Western Connecticut Planning Region	Census Tract 2102.02	1191359	0	2	100	1	100	0	1	0	100	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3709	59.45	10.51	20.46	4.45	0	5.12	73864	14.8	15.5	93.1	9	431	529019	1	27	34069	5	491	603143	0	0	0
141	9190210201	 Connecticut	 Western Connecticut Planning Region	Census Tract 2102.01	1188242	0	2	100	1	100	0	1	0	99.96	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3211	52.01	4.55	30.71	0.5	0.56	11.68	59464	9.5	21.2	90.3	6	140	171781	1	28	35209	2	166	203827	0	0	0
142	9190210102	 Connecticut	 Western Connecticut Planning Region	Census Tract 2101.02	612603	0	2	100	1	100	0	3	0	100	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3683	46.65	15.31	24.52	7.01	0.24	6.27	22649	32.9	5.4	96.1	11	812	995996	0	0	0	1	208	256170	0	0	0
143	9190210401	 Connecticut	 Western Connecticut Planning Region	Census Tract 2104.01	1886188	0	2	100	1	100	0	1	0	0.02	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4685	30.03	8.35	49.65	3.8	0	8.18	87785	7.1	60.9	70.8	78	692	849048	0	0	0	4	847	1039508	0	0	0
144	9190050302	 Connecticut	 Western Connecticut Planning Region	Census Tract 503.02	10316526	7329	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4105	4.8	0.51	84.75	5.51	0	4.43	"250,000+"	6	97.8	9.4	9	959	1176804	0	0	0	9	1367	1677261	0	0	0
145	9190021401	 Connecticut	 Western Connecticut Planning Region	Census Tract 214.01	543685	0	2	100	1	100	0	1	0	100	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4101	62.16	26.68	8.73	2.1	0	0.34	82708	12	24	96.8	0	0	0	0	0	0	1	40	49068	0	0	0
146	9190021402	 Connecticut	 Western Connecticut Planning Region	Census Tract 214.02	1120632	0	2	100	1	100	0	1	0	99.98	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3908	36.05	41.27	18.91	3.76	0	0	55689	18.6	18.8	96.1	3	515	631669	0	0	0	4	939	1152705	0	0	0
147	9190021601	 Connecticut	 Western Connecticut Planning Region	Census Tract 216.01	459686	0	1	100	1	0	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3554	13.39	26.17	42.85	13.53	0.28	3.77	93596	15.8	20.8	55	5	127	156513	1	109	133898	5	86	105494	0	0	0
148	9190020101	 Connecticut	 Western Connecticut Planning Region	Census Tract 201.01	309714	0	2	100	1	100	0	2	0	97.72	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	2470	12.67	18.34	50.12	17.89	0	0.97	76964	11.8	11.3	68.2	5	507	621858	0	0	0	6	1754	2152086	0	0	0
149	9190021702	 Connecticut	 Western Connecticut Planning Region	Census Tract 217.02	505499	0	2	100	1	100	0	2	0	0.47	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4110	17.37	23.63	41.44	15.89	0	1.68	93676	23.6	18.3	55.8	1	37	45499	0	0	0	4	1206	1479811	0	0	0
150	9190021501	 Connecticut	 Western Connecticut Planning Region	Census Tract 215.01	397807	0	2	100	1	100	0	5	0	100	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4772	53.39	34.18	7.23	3.83	0	1.36	48820	17.5	18.6	90.7	2	44	54292	0	0	0	1	78	96358	0	0	0
151	9190211201	 Connecticut	 Western Connecticut Planning Region	Census Tract 2112.01	2279434	76368	2	100	1	100	0	1	0	0	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	3589	36.47	10.53	44.39	7.86	0	0.75	80795	10.4	50.7	77.7	8	257	315184	0	0	0	2	558	684699	0	0	0
152	9190210101	 Connecticut	 Western Connecticut Planning Region	Census Tract 2101.01	695595	0	2	100	1	100	0	2	0	100	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	2594	32.42	23.59	36.16	5.2	0	2.62	85700	11.4	13.8	59.1	21	1389	1704659	2	1306	1601862	5	546	670141	0	0	0
153	9190020102	 Connecticut	 Western Connecticut Planning Region	Census Tract 201.02	638356	0	2	100	1	100	0	1	0	99.48	Middle third	44	2	8823.047	70	15.967	Upper third	95	4	7913.296	9	9.224	4124	20.83	33.15	34.04	8.71	0.48	2.79	55333	9.7	6.4	76.6	13	4742	5816680	1	174	214337	4	5243	6431192	0	0	0
